Kynlífstengd orð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
y-merkt	orðfl.	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)			
blóðskömm	no	y	z		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
brund	no	y	z							
brundur	no	y	z							
endaþarmsmök	no	y	z							
fróa	so	y	z							
fróun	no	y	z							
getnaður	no	y	z							
graður	lo	y			Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
gredda	no	y								
hór	no	y								
klæmast	so	y	s		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
klámblað	no	y								
klámfengni	no	y								
klámfíkill	no	y	n							
klámfíkn	no	y								
klámgefinn	lo	y	l							
klámkenndur	lo	y	l							
klámkjaftur	no	y								
klámrit	no	y								
kynferðislegur	lo	y	z		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
kynhvöt	no	y								
kynlíf	no	y			Orð sem tengist kynlífsgjörðum 					
meydómur	no	y	z							
meyjarhaft	no	y								
mök	no	y								
munnmök	no	y								
nauðgunarbrandari	no	y	a	 	Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
nauðgunarbúðir	no	y	a	 	Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
nauðgunarfantasía	no	y	a	 	Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
nauðgunarleikur	no	y	a	 	Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
ríða	so	y	s z 		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
runka	so	y	z							
rúnka	so	y	s z		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
sáðfall	no	y								
sáðlát	no	y								
sæði	no	y	z		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
sæðing	no	y								
samfarir	no	y	z							
samræði	no	y	z							
saurlífi	no	y	z							
saurlifnaður	no	y	z							
sexí	lo	y								
sifjaspell	no	y	z		Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
sifjaspellsmál	no	y			Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
sjálfsfróun	no	y								
sódómska	no	y		siðferðilega fordæmd kynmök manna eða manna og dýra	Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
standpína	no	y								
sveindómur	no	y								
trúboðastelling	no	y			Orð sem tengist kynlífsgjörðum og telst almennt óviðeigandi					
