LGBTQIA+ orð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
ö-merkt	orðfl	kóði	kóði2	merking	óviðeigandi ástæða						
afhommun	no	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
aftaníossi	no	ö		niðrandi orð um samkynhneigða menn	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
bæjari	no	ö		tvíkynhneigð/ur	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
epalhommi	no	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
Faggalegt	lo	ö		niðrandi lýsingarorð	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
faggi	no	ö		hommi	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
Gay Pride	no	ö		Pride/Hinsegindagar (á við um hátíðina í Reykjavík)	gamalt nafn á hátíð hinsegin fólks, er útilokandi. 'Hinsegindagar' ekki eins útilokandi						"
"
hommadjöfull	no	ö		hommi	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
hommahækja	no	ö		niðrandi orð um vini samkynhneigðra	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
Hommalegt	lo	ö		niðrandi lýsingarorð	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
hommalegur	lo	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
hommaorgía	no	ö									
Hommatittur	no	ö		hommi	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
hommi	no	ö	e	þótti áður óviðeigandi en samkynhneigðir hafa snúið merkingunni yfir í jákvæða og gert það að sínu	fullkomlega viðeigandi orð yfir hinseginfólk, þó stundum enn notað sem almennt meiðyrði						"
"
hýr	lo	ö		notað yfir samkynhneigða, telst kannski ekki óviðeigandi	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði		x				
kynhverfur	lo	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
kynskiptiaðgerð	no	ö		kynleiðrétting/kynleiðréttingarferli	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
kynskiptingur	no	ö		transfólk/transkona/transmaður	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
kynvilla	no	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
kynvillingur	no	ö		hinsegin einstaklingur/samkynhneigð/ur	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
kynvillingur	no	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
kynvilltur	lo	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
lessa	no	ö		lesbía	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
lessuklám	no	ö	y								
millikynja	no	ö		intersex fólk sem fæðist með kyneinkenni, sem falla ekki undir staðlaðar hugmyndir um karl/kvenkynfæri	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
öfuguggi	no	ö		hinsegin	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
öfugur	lo	ö		hinsegin	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
ókynhneigður	lo	ö	e	eikynhneigð þykir betra yfir 'asexual'	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
samkynheigður	lo	ö	e		fullkomlega viðeigandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
sjálfkynhneigður	lo	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
sódómskur	lo	ö		sem leggur stund á sódómsku (niðrandi > um samkynhneigðan mann)	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
trukkalessa	no	ö		lesbía	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						"
"
tvítóla	lo	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
tvítóli	no	ö			niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
viðrini	no	ö		intersex	niðrandi orð yfir hinseginfólk, einnig stundum notað sem almennt meiðyrði						
